Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"31,9921666666667","0,297333333333333","49,1228331651043","0,152387226061329",6,6
Study 2,"78,46698","11,19","61,406","23,7143",10,9
Study 3,"2,332182","1,574083","2,0809881","0,9203153",11,12
Study 4,"38,7199","29,5631","42,87138","52,61665",10,10
