Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed,Freezing
PC4,pCPA,CTRL,10,1,25.7174361012015,9.98417027705763,3.67452923273095,2
PC4,pCPA,CTRL,11,0,4.55219444279681,16.6188893426999,8.89559735562205,0
PC4,pCPA,CTRL,12,1,18.0374831036488,30.9417310641045,6.07784963139942,10
PC4,pCPA,CTRL,13,0,28.6608044988349,22.8173854914565,6.06136485324402,10
PC4,pCPA,CTRL,14,1,16.4064794187317,26.0168705969958,4.50974338244295,10
PC4,pCPA,CTRL,15,0,21.779567174287,27.0761657555092,1.69890148296593,8
PC4,pCPA,CTRL,16,1,24.3528601126899,15.6838894143267,6.50494840163933,6
PC4,pCPA,CTRL,17,0,27.3053058851153,33.3439624540988,4.41834893162068,10
PC4,pCPA,CTRL,18,1,12.825329352656,22.2576937634513,3.62550242877908,9
PC4,pCPA,CTRL,19,0,23.1078619768802,27.6275668814334,7.44121243463378,9
PC4,pCPA,CTRL,20,1,20.6717941302004,12.0186251664911,2.08511833577746,8
PC5,pCPA,CTRL,1,0,8.46904189433032,12.7812665686185,6.93390336635318,1
PC5,pCPA,CTRL,2,0,11.4065720079376,17.6740378937014,5.8181839955843,8
PC5,pCPA,CTRL,3,0,5.95377723343278,32.8914928483765,7.47064895953437,4
PC5,pCPA,CTRL,4,1,27.2725920270988,29.915808588524,7.2452008799805,9
PC5,pCPA,CTRL,5,0,26.1224442715809,12.0546258582585,2.89298758383302,4
PC5,pCPA,CTRL,6,1,20.4236455197088,33.2804467466923,3.38786001694104,1
PC5,pCPA,CTRL,7,0,12.996606341794,22.1166655343295,2.22829997573498,10
PC5,pCPA,CTRL,8,1,33.412448301722,32.9438803945523,2.80339793909672,1
PC5,pCPA,CTRL,9,0,4.11028196988235,10.2885781271069,7.07097406942279,9
PC5,pCPA,CTRL,10,1,19.4081192563025,8.78079951774295,6.2120750077394,1
PC5,pCPA,CTRL,11,0,26.955222164916,31.050818540848,4.44184850616373,1
PC5,pCPA,CTRL,12,1,15.3637744132481,16.4202385028512,2.82483456903281,3
PC5,pCPA,CTRL,13,0,18.3534163422535,14.4723390181244,8.49235851374651,8
PC5,pCPA,CTRL,14,1,23.1601091864627,16.0969172527186,2.75855219229577,4
PC5,pCPA,CTRL,15,0,13.0862675762183,16.0481468606966,3.40335095241209,8
PC5,pCPA,CTRL,16,1,29.2255802741873,33.2579623190114,6.32834371318521,5
PC5,pCPA,CTRL,17,0,22.2044864908209,26.447584978413,4.29752685750044,2
PC5,pCPA,CTRL,18,1,10.5034516172025,11.7736634390635,3.4872186636993,2
PC5,pCPA,CTRL,19,0,25.9681124845588,11.3043901519603,1.31893750573419,10
PC5,pCPA,CTRL,20,1,24.4211024467147,32.7639674386051,1.41276354417995,5
PC6,pCPA,CTRL,1,0,23.2920373619411,10.1334466964071,2.7013366412008,4
PC6,pCPA,CTRL,2,0,19.7822379146068,19.225725746202,2.81463024300873,4
PC6,pCPA,CTRL,3,0,0.9567148176013,10.7767507502111,7.18182137817691,0
PC6,pCPA,CTRL,4,1,38.4393143636512,9.40463877244261,3.01289114995704,9
PC6,pCPA,CTRL,5,0,10.9641301378481,14.9039520197448,2.96568338074655,9
PC6,pCPA,CTRL,6,1,12.0266795927899,18.5080040390139,6.7306134121655,9
PC6,pCPA,CTRL,7,0,7.77594870169116,22.0839923836329,2.55394742053116,5
PC6,pCPA,CTRL,8,1,16.5594908066832,29.995615609453,4.59989627112202,6
PC6,pCPA,CTRL,9,0,22.3446190092401,15.0486401724531,5.48633939261601,7
PC6,pCPA,CTRL,10,1,17.9653571555357,24.1613703282981,2.19056517380666,2
PC6,pCPA,CTRL,11,0,4.60090629859928,27.4678835501631,4.5513169712788,5
PC6,pCPA,CTRL,12,1,14.7412105531519,9.095819625295,1.98000449465966,4
PC6,pCPA,CTRL,13,0,8.45663216648622,9.43812529616418,4.55830864103355,10
PC6,pCPA,CTRL,14,1,19.7899364367345,28.648910598633,4.645223682572,3
PC6,pCPA,CTRL,15,0,8.06906966000787,18.5207582585545,6.06432682553682,8
PC6,pCPA,CTRL,16,1,20.6699928768422,26.3209022641295,6.99069033310714,1
PC6,pCPA,CTRL,17,0,15.6501108327726,19.1749368387735,2.73042195577184,1
PC6,pCPA,CTRL,18,1,19.8660180979871,19.7189595922286,5.15777968048865,7
PC6,pCPA,CTRL,19,0,23.5322651733823,18.4829440489867,8.54471311101266,1
PC6,pCPA,CTRL,20,1,22.0083949741436,13.3585135529002,4.17405053653112,1
PC7,pCPA,CTRL,1,0,12.1026531145924,20.9446771018663,3.00204836031828,10
PC7,pCPA,CTRL,2,0,6.44560394840996,15.6385042743736,2.49688252239373,1
PC7,pCPA,CTRL,3,0,1.0805465282307,20.3639704359789,6.95637871828918,4
PC7,pCPA,CTRL,4,1,15.1966000222329,16.4261511378069,4.8296599760034,6
PC7,pCPA,CTRL,5,0,26.2042646857054,22.7412893619932,3.09181353255411,10
PC7,pCPA,CTRL,6,1,27.406772938108,33.8184813740757,2.1404772455192,4
PC7,pCPA,CTRL,7,0,2.38979938381657,25.0112411425142,5.53061568177973,7
PC7,pCPA,CTRL,8,1,18.264344758745,12.6007486907809,3.24859399504028,4
