Subject,Drug,Treatment,Trial,Type,TimeNearStimulus,AbsoluteTurnAngle,Speed
CC10,VEH,CTRL,3,OFF,5,4.56756588372093,4.56756588372093
CC10,VEH,CTRL,4,ON,,5.60294349152542,5.60294349152542
CC10,VEH,CTRL,5,OFF,,6.09331918333333,6.09331918333333
CC10,VEH,CTRL,6,ON,,5.23461313333333,5.23461313333333
CC10,VEH,CTRL,7,OFF,3,5.50802396666667,5.50802396666667
CC10,VEH,CTRL,8,ON,1,3.80488033898305,3.80488033898305
CC10,VEH,CTRL,9,OFF,3,3.50071178947368,3.50071178947368
CC10,VEH,CTRL,10,ON,12,4.57902263333333,4.57902263333333
CC10,VEH,CTRL,11,OFF,17,3.74723640740741,3.74723640740741
CC10,VEH,CTRL,12,ON,22,4.70051953703704,4.70051953703704
CC10,VEH,CTRL,13,OFF,9,4.72744788888889,4.72744788888889
CC10,VEH,CTRL,14,ON,3,4.75226121428571,4.75226121428571
CC10,VEH,CTRL,15,OFF,,1.256486,1.256486
CC10,VEH,CTRL,16,ON,,,
CC10,VEH,CTRL,17,OFF,,,
CC10,VEH,CTRL,18,ON,,,
CC10,VEH,CTRL,19,OFF,,,
CC10,VEH,CTRL,20,ON,,,
CS1,VEH,CAS,1,OFF,,26.7909419298246,4.80804691666667
CS1,VEH,CAS,2,OFF,1,24.0463874827586,5.90855695
CS1,VEH,CAS,3,OFF,9,30.9811343275862,4.94075688333333
CS1,VEH,CAS,4,ON,2,28.6280503220339,6.46118735
CS1,VEH,CAS,5,OFF,7,22.3669852413793,6.72131816666667
CS1,VEH,CAS,6,ON,16,20.6881629491525,6.73102073333333
CS1,VEH,CAS,7,OFF,11,22.3881068135593,6.94770845
CS1,VEH,CAS,8,ON,,21.8256015614035,7.84937401666667
CS1,VEH,CAS,9,OFF,6,22.7200616363636,6.27051116666667
CS1,VEH,CAS,10,ON,11,22.2775558545455,5.66578538333333
CS1,VEH,CAS,11,OFF,1,21.2266005423729,5.45895351666667
CS1,VEH,CAS,12,ON,6,24.4644359818182,6.62663686666667
CS1,VEH,CAS,13,OFF,5,27.3373606896552,5.56782376666667
CS1,VEH,CAS,14,ON,14,24.5544891052632,5.78574843333333
CS1,VEH,CAS,15,OFF,47,23.9806280338983,6.76557238333333
CS1,VEH,CAS,16,ON,10,24.9472911896552,5.88545415
CS1,VEH,CAS,17,OFF,16,22.7331947241379,5.91903976666667
CS1,VEH,CAS,18,ON,60,31.4471642413793,7.80148831666667
CS1,VEH,CAS,19,OFF,38,25.2487326888889,6.38213101818182
CS1,VEH,CAS,20,ON,,,
CS2,VEH,CAS,1,OFF,50,22.503638,7.90271186666667
CS2,VEH,CAS,2,OFF,17,23.4824717166667,9.09071621666667
CS2,VEH,CAS,3,OFF,,19.8328727931034,6.88893546666667
CS2,VEH,CAS,4,ON,7,21.2514054642857,7.1606
CS2,VEH,CAS,5,OFF,,20.2290114545455,8.40696276666667
CS2,VEH,CAS,6,ON,,21.7138234107143,8.33065911666667
CS2,VEH,CAS,7,OFF,,22.334836,6.82611731666667
CS2,VEH,CAS,8,ON,49,20.1909835833333,9.23244331666667
CS2,VEH,CAS,9,OFF,39,19.1809248666667,6.72792405
CS2,VEH,CAS,10,ON,34,19.6418818644068,6.74603861666667
CS2,VEH,CAS,11,OFF,8,23.2949827719298,7.41969585
CS2,VEH,CAS,12,ON,,22.7993108727273,6.0612049
CS2,VEH,CAS,13,OFF,2,23.7530287090909,6.35612035
CS2,VEH,CAS,14,ON,24,23.158856368421,7.962273
CS2,VEH,CAS,15,OFF,17,19.4916228947368,7.0348129
CS2,VEH,CAS,16,ON,,24.0048283157895,6.1040553
CS2,VEH,CAS,17,OFF,,29.6618376545455,5.7141425
CS2,VEH,CAS,18,ON,3,20.722853440678,6.39566848333333
CS2,VEH,CAS,19,OFF,2,23.7274776842105,6.06681563333333
CS2,VEH,CAS,20,ON,,27.0379705,7.62692925
CS3,VEH,CAS,1,OFF,9,25.3138863148148,5.3849894
CS3,VEH,CAS,2,OFF,13,24.3202063090909,5.63189398333333
CS3,VEH,CAS,3,OFF,,23.9486936949153,7.7422954
CS3,VEH,CAS,4,ON,14,23.9850154745763,6.29579938333333
CS3,VEH,CAS,5,OFF,24,22.938582559322,7.73869005
CS3,VEH,CAS,6,ON,3,22.1711706779661,8.09928906666667
CS3,VEH,CAS,7,OFF,,22.7262584035088,8.67996878333333
CS3,VEH,CAS,8,ON,16,26.1878845932203,6.65521328333333
CS3,VEH,CAS,9,OFF,10,22.3937551694915,7.7978321
CS3,VEH,CAS,10,ON,10,29.5443885423729,10.4819115333333
CS3,VEH,CAS,11,OFF,6,25.2496132711864,7.23019916666667
CS3,VEH,CAS,12,ON,6,25.050113,6.85665625
CS3,VEH,CAS,13,OFF,31,24.3992828181818,5.81820018333333
CS3,VEH,CAS,14,ON,8,25.6538244912281,7.14423713333333
CS3,VEH,CAS,15,OFF,2,25.0625747719298,6.5717102
CS3,VEH,CAS,16,ON,6,26.9842167288136,6.38989066101695
CS3,VEH,CAS,17,OFF,13,23.91231765,6.34724086666667
CS3,VEH,CAS,18,ON,5,24.5742173050847,5.12623386666667
CS3,VEH,CAS,19,OFF,13,20.9440601272727,4.51122925423729
CS3,VEH,CAS,20,ON,,27.68803,12.026041
CS4,VEH,CAS,1,OFF,50,19.2182816808511,4.5574826
CS4,VEH,CAS,2,OFF,16,22.5362450172414,4.34639395238095
CS4,VEH,CAS,3,OFF,11,19.1838361176471,5.87401266101695
CS4,VEH,CAS,4,ON,3,10.8919384857143,4.65118315384615
CS4,VEH,CAS,5,OFF,,15.4265176444444,1.62122858333333
CS4,VEH,CAS,6,ON,1,21.0060382727273,3.65708282758621
CS4,VEH,CAS,7,OFF,3,17.7209979047619,4.0762113
CS4,VEH,CAS,8,ON,,15.9476894782609,3.99142948148148
CS4,VEH,CAS,9,OFF,1,27.0967832,3.16432034782609
CS4,VEH,CAS,10,ON,9,21.8427274901961,6.05007674137931
CS4,VEH,CAS,11,OFF,16,23.2971949047619,4.77905919047619
CS4,VEH,CAS,12,ON,15,15.666327,3.47225721621622
CS4,VEH,CAS,13,OFF,,17.2826226,2.83776211764706
CS4,VEH,CAS,14,ON,2,13.462183,3.84659673809524
CS4,VEH,CAS,15,OFF,1,19.389663787234,2.90022258333333
CS4,VEH,CAS,16,ON,2,24.5625617291667,3.99087603571429
CS4,VEH,CAS,17,OFF,9,20.4246647222222,3.72613921276596
CS4,VEH,CAS,18,ON,1,,6.19410895833333
CS4,VEH,CAS,19,OFF,,,
CS4,VEH,CAS,20,ON,,,
CS5,VEH,CAS,1,OFF,15,19.82527204,5.63669277272727
CS5,VEH,CAS,2,OFF,15,14.2259157254902,4.8867802
CS5,VEH,CAS,3,OFF,24,27.5663039827586,4.640654275
CS5,VEH,CAS,4,ON,28,22.7455997758621,4.16934837288136
CS5,VEH,CAS,5,OFF,6,16.6736011454545,3.26740706976744
CS5,VEH,CAS,6,ON,31,,4.46416359322034
CS5,VEH,CAS,7,OFF,1,,3.1670371
CS5,VEH,CAS,8,ON,1,,5.15170546666667
CS5,VEH,CAS,9,OFF,,,8.68535933333333
CS5,VEH,CAS,10,ON,,,
CS5,VEH,CAS,11,OFF,,,
CS5,VEH,CAS,12,ON,,,
CS5,VEH,CAS,13,OFF,,,
CS5,VEH,CAS,14,ON,,,
CS5,VEH,CAS,15,OFF,,,
CS5,VEH,CAS,16,ON,,,
CS5,VEH,CAS,17,OFF,,,
CS5,VEH,CAS,18,ON,,,
CS5,VEH,CAS,19,OFF,,,
CS5,VEH,CAS,20,ON,,,
CS6,VEH,CAS,1,OFF,,19.4185746923077,4.85783683783784
CS6,VEH,CAS,2,OFF,,19.9069427735849,4.9974945
CS6,VEH,CAS,3,OFF,,16.2048456511628,3.59269809090909
CS6,VEH,CAS,4,ON,,15.8143335416667,2.80342751851852
CS6,VEH,CAS,5,OFF,,19.221701,3.25677084375
CS6,VEH,CAS,6,ON,,13.4769409069767,4.84406127272727
CS6,VEH,CAS,7,OFF,,16.6198297317073,4.55887185714286
CS6,VEH,CAS,8,ON,,19.8216820212766,4.50522303703704
CS6,VEH,CAS,9,OFF,,16.5265501041667,4.04964127027027
CS6,VEH,CAS,10,ON,,16.1228828928571,4.17209237837838
CS6,VEH,CAS,11,OFF,,21.77883936,4.14592268292683
CS6,VEH,CAS,12,ON,15,33.9103179142857,4.87042292307692
CS6,VEH,CAS,13,OFF,16,24.0959374117647,4.62371783333333
CS6,VEH,CAS,14,ON,18,,4.425362
CS6,VEH,CAS,15,OFF,,,
CS6,VEH,CAS,16,ON,,,
CS6,VEH,CAS,17,OFF,,,
CS6,VEH,CAS,18,ON,,,
CS6,VEH,CAS,19,OFF,,,
CS6,VEH,CAS,20,ON,,,
CS7,VEH,CAS,1,OFF,3,30.6016635918367,7.46960388333333
CS7,VEH,CAS,2,OFF,4,24.511553462963,7.43457453333333
CS7,VEH,CAS,3,OFF,18,28.5407387058823,9.2235066
CS7,VEH,CAS,4,ON,7,27.9044917924528,10.08289065
CS7,VEH,CAS,5,OFF,3,22.4409746326531,7.56496239655172
CS7,VEH,CAS,6,ON,1,21.3267263333333,7.45874813333333
CS7,VEH,CAS,7,OFF,,26.1501907457627,6.99222748333333
CS7,VEH,CAS,8,ON,4,25.9679176545455,7.2164636
CS7,VEH,CAS,9,OFF,4,22.2343832807018,7.20019708333333
CS7,VEH,CAS,10,ON,3,21.0935558727273,7.40018556666667
CS7,VEH,CAS,11,OFF,18,20.5513816842105,7.95726266666667
CS7,VEH,CAS,12,ON,3,24.1215712,8.38815715
CS7,VEH,CAS,13,OFF,53,28.0682054827586,8.84640126666667
CS7,VEH,CAS,14,ON,34,22.3516214666667,8.84324446666667
CS7,VEH,CAS,15,OFF,22,22.901290220339,7.97457431666667
CS7,VEH,CAS,16,ON,2,23.9199933793103,6.43109731666667
CS7,VEH,CAS,17,OFF,,21.1143252777778,6.5051623
CS7,VEH,CAS,18,ON,,23.9603288536585,5.80642665
CS7,VEH,CAS,19,OFF,,,8.32627863333333
CS7,VEH,CAS,20,ON,,,11.88455375
CS8,VEH,CAS,1,OFF,,9.60393322580645,2.122318
CS8,VEH,CAS,2,OFF,,14.4231328529412,2.6992575
CS8,VEH,CAS,3,OFF,,9.81843605555556,4.32651475
CS8,VEH,CAS,4,ON,,12.9627022352941,4.5675796
CS8,VEH,CAS,5,OFF,,11.96849,3.60213371428571
CS8,VEH,CAS,6,ON,,11.9496742105263,4.33142489473684
CS8,VEH,CAS,7,OFF,,13.5517120625,2.49913071428571
CS8,VEH,CAS,8,ON,,,
CS8,VEH,CAS,9,OFF,,,
CS8,VEH,CAS,10,ON,,,
CS8,VEH,CAS,11,OFF,,,
CS8,VEH,CAS,12,ON,,,
CS8,VEH,CAS,13,OFF,,,
CS8,VEH,CAS,14,ON,,,
CS8,VEH,CAS,15,OFF,,,
CS8,VEH,CAS,16,ON,,,
CS8,VEH,CAS,17,OFF,,,
CS8,VEH,CAS,18,ON,,,
CS8,VEH,CAS,19,OFF,,,
CS8,VEH,CAS,20,ON,,,
CS9,VEH,CAS,1,OFF,,28.8575808965517,8.12934055
CS9,VEH,CAS,2,OFF,4,23.1757261694915,6.9503998
CS9,VEH,CAS,3,OFF,6,23.5754343965517,6.74021051666667
CS9,VEH,CAS,4,ON,15,12.9555029166667,6.67149296666667
CS9,VEH,CAS,5,OFF,5,22.2946890377358,5.53978339534884
CS9,VEH,CAS,6,ON,11,24.5854177288136,4.37872784615385
CS9,VEH,CAS,7,OFF,17,29.8749971666667,5.79937106666667
CS9,VEH,CAS,8,ON,15,28.2692099464286,5.65852673333333
CS9,VEH,CAS,9,OFF,12,23.8952666440678,6.76319281666667
CS9,VEH,CAS,10,ON,16,20.7051781724138,6.33012358333333
CS9,VEH,CAS,11,OFF,18,27.5298899491525,6.5567267
CS9,VEH,CAS,12,ON,10,24.9370600535714,6.06998318333333
CS9,VEH,CAS,13,OFF,14,24.9662403448276,6.74230213333333
CS9,VEH,CAS,14,ON,20,25.2735967931034,6.35310623333333
CS9,VEH,CAS,15,OFF,5,,6.23838608333333
CS9,VEH,CAS,16,ON,15,,6.48500255
CS9,VEH,CAS,17,OFF,9,,6.89065043333333
CS9,VEH,CAS,18,ON,8,,6.2696641
CS9,VEH,CAS,19,OFF,2,,5.83368946938776
CS9,VEH,CAS,20,ON,,,
CS10,VEH,CAS,1,OFF,24,32.3571173157895,4.79105368333333
CS10,VEH,CAS,2,OFF,1,21.287244,5.06116733333333
CS10,VEH,CAS,3,OFF,3,24.4239891851852,5.00252195
CS10,VEH,CAS,4,ON,5,23.6187689,5.00190811666667
CS10,VEH,CAS,5,OFF,1,16.7347155555556,4.94304808333333
CS10,VEH,CAS,6,ON,4,21.9614173846154,4.86794738333333
CS10,VEH,CAS,7,OFF,3,19.317821,4.62968343333333
CS10,VEH,CAS,8,ON,7,,5.1105109
CS10,VEH,CAS,9,OFF,8,,5.15082868333333
CS10,VEH,CAS,10,ON,10,,7.3160693
CS10,VEH,CAS,11,OFF,1,,2.89038076923077
CS10,VEH,CAS,12,ON,,,
CS10,VEH,CAS,13,OFF,,,
CS10,VEH,CAS,14,ON,,,
CS10,VEH,CAS,15,OFF,,,
CS10,VEH,CAS,16,ON,,,
CS10,VEH,CAS,17,OFF,,,
CS10,VEH,CAS,18,ON,,,
CS10,VEH,CAS,19,OFF,,,
CS10,VEH,CAS,20,ON,,,
