Group,zMAO
CTRL,"7,576"
CTRL,"8,254"
CTRL,"10,652"
CTRL,"6,327"
CTRL,"8,016"
CAS,"4,879"
CAS,"5,988"
CAS,"6,933"
CAS,"6,216"
CAS,"4,176"
