Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"2,4060","2,828167","2,563165","2,6088635",6,6
Study 2,"90,5126","0,366","105,2198","0,181244",10,9
Study 3,"265,3588","318,7447","112,8058","19,9307",11,12
Study 4,"262,0467","294,6769","55,36418","50,55232",10,10
