Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"0,19","2,3637","1,8281","1,4231",6,6
Study 2,"13,45","10,0129","8,8127","12,6256",10,9
Study 3,"133,9401","152,7571","157,4155","141,9351",11,12
Study 4,"0,1","35,5219","0,3162278","112,3301108",10,10
