Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"0,0001","3,5","0,0001","7,120393",6,6
Study 2,"1,333333","1,111111","1,732501","1,964971",10,9
Study 3,"0,9090909","2,666667","1,513575","5,228129",11,12
Study 4,"19,2","15,5","8,508819","8,072587",10,10
