Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"1,66667","1,5","1,36626","0,5477226",6,6
Study 2,"1,66667","2,555556","2,12132","2,242271",10,9
Study 3,"0,9090909","0,8333333","1,3003496","0,8348471",11,12
Study 4,"0,1","0,1","0,3162278","0,3162278",10,10
