Subj,Treatment,Dose,Time.Top,Time.Bottom,AbsoluteTurnAngle,Freezing.S,Speed
A1,CAS,0 mg/kg,0.549,359.081,45.0703160652357,343.803,11.4012670749475
A2,CAS,0 mg/kg,38.787,242.846,21.3676918059253,125.773,5.43855691510662
A3,CAS,0 mg/kg,168.672,299.379,43.3926054668441,0,7.71313646223178
A4,CAS,0 mg/kg,1.433,329.973,28.1691192276868,163.979,9.42314738339196
A5,CAS,0 mg/kg,22.673,282.595,32.2766493599852,0,11.5286005405747
A6,CAS,0 mg/kg,0.329,359.42,53.471396829224,92.744,2.40168310833916
A7,CAS,0 mg/kg,0.322,354.852,27.1721270065667,41.831,6.90703968348423
A8,CAS,0 mg/kg,6.518,329.243,39.6742076601305,43.832,12.9384538482465
A9,CAS,0 mg/kg,0.29,357.298,20.275894512323,141.774,5.91619951249746
A10,CAS,0 mg/kg,56.058,235.324,35.8431837802726,33.309,13.2959005699117
A11,CAS,0 mg/kg,5.8121,354.1879,55.3602907225907,43.558,2.7961779187451
A12,CAS,0 mg/kg,4.4826,355.5174,41.2026885042722,0,11.7614271412995
A13,CAS,0 mg/kg,0.1894,359.8106,36.9907921808676,36.3649,3.5956514267323
A14,CAS,0 mg/kg,8.2722,351.7278,48.02111353586,78.501,8.40545715419001
A15,CAS,0 mg/kg,12.9511,347.0489,41.4613117295339,143.494,9.59215585584112
A16,CAS,0 mg/kg,6.7718,205.889,47.2779709891622,51.494,9.68131917839236
A17,CAS,0 mg/kg,29.203,276.493,43.8477,2.237,10.7932191
A18,CAS,0 mg/kg,93.259,269.309,35.83998,1.973,13.6791849
A19,CAS,0 mg/kg,0,233.24,43.97055,3.849,3.3946802
A20,CAS,0 mg/kg,0,347.209,49.39812,16.127,0.5728287
A21,CAS,0 mg/kg,0,287.724,49.6081,11.746,2.5751624
B1,CAS,2 mg/kg,0.18,359.675,14.4130750114589,53.416,11.6621396289396
B2,CAS,2 mg/kg,72.919,111.787,20.4514024769605,0,6.4836051590761
B3,CAS,2 mg/kg,0.414,159.267,26.3084160894124,3.403,7.73370478935602
B4,CAS,2 mg/kg,32.49,198.007,22.2357409993533,0,2.0265369760378
B5,CAS,2 mg/kg,139.262,108.321,20.6088146574555,0,11.0345736308925
B6,CAS,2 mg/kg,0.247,159.523,15.2821613555265,348.984,13.7432329992865
B7,CAS,2 mg/kg,72.673,165.274,23.2533972053017,0,5.16731214325901
B8,CAS,2 mg/kg,88.026,271.974,25.0039714870553,0,5.73277548802409
B9,CAS,2 mg/kg,315.4541,44.5459,23.8702556340597,0,2.92684106633545
