Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"114,3297","110,1802","143,7776","145,8837",6,6
Study 2,"239,45191","322,3799","87,41042","58,23196",10,9
Study 3,"293,5334","255,0913","100,33709","116,54771",11,12
Study 4,"222,4458","295,0011","60,60593",83.54509,10,10
