Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"1,666667","4,166667","1,3662601","5,076088",6,6
Study 2,"0,4","1,5555556","0,6992059","2,127857",10,9
Study 3,"1,636364","6,5","2,460599","3,801913",11,12
Study 4,"1,2",5,"1,4757296","9,1408728",10,10
