Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"190,6202","146,4077","149,7889","161,0146",6,6
Study 2,"54,17647","120,625","88,161","149,36629",10,9
Study 3,"100,51133","107,62818","142,966","136,1916",11,12
Study 4,"28,4459","50,7782","63,80509","115,13536",10,10
