Study,mctrl,mcas,sdctrl,sdcas,nctrl,ncas
Study 1,"1,833333","2,666667","2,6394444","3,88158",6,6
Study 2,"0,7","2,11111","0,9486833","1,536591",10,9
Study 3,"1,0909091","1,5833333","2,071451","2,906367",11,12
Study 4,"0,3","0,2","0,6749486","0,421637",10,10
